令和５年,医療施設調査,令和５（２０２３）年１０月１日,
都道府県編　第１０８表　一般診療所数，在宅療養支援診療所の届出状況・都道府県−指定都市・特別区・中核市（再掲）別
,総数,在宅療養支援診療所,,
,,届出施設数,連携保険医療機関等の数,受け持つ在宅療養患者の数
,,,,
全　　　　　国,104894,14725,40584,967975
北　海　道,3403,334,878,31504
青　　　森,850,74,135,4641
岩　　　手,879,75,173,3458
宮　　　城,1724,131,353,8463
秋　　　田,806,65,128,1415
山　　　形,881,85,266,3814
福　　　島,1372,156,431,7551
茨　　　城,1760,195,551,11786
栃　　　木,1482,153,383,9871
群　　　馬,1563,261,668,13197
埼　　　玉,4530,521,1364,62445
千　　　葉,3942,415,1173,55520
東　　　京,14894,1661,4908,171756
神　奈　川,7150,910,2444,125005
新　　　潟,1655,130,334,5215
富　　　山,744,71,193,3615
石　　　川,879,147,424,5423
福　　　井,571,52,142,1450
山　　　梨,726,64,132,2178
長　　　野,1599,264,640,6718
岐　　　阜,1598,275,821,17568
静　　　岡,2724,365,2253,23094
愛　　　知,5682,845,2344,61563
三　　　重,1498,173,549,9866
滋　　　賀,1143,165,398,6037
京　　　都,2488,347,743,15181
大　　　阪,8877,1773,4637,94267
兵　　　庫,5196,957,2387,44892
奈　　　良,1213,178,386,6443
和　歌　山,1008,181,532,5490
鳥　　　取,474,77,249,3853
島　　　根,689,118,251,3078
岡　　　山,1550,278,712,9241
広　　　島,2521,549,1360,14520
山　　　口,1194,144,291,5424
徳　　　島,688,138,615,2966
香　　　川,816,130,289,3693
愛　　　媛,1175,198,503,9346
高　　　知,514,43,137,2825
福　　　岡,4806,767,2021,34878
佐　　　賀,693,123,299,6482
長　　　崎,1317,259,709,6802
熊　　　本,1470,224,606,8075
大　　　分,947,177,423,6843
宮　　　崎,906,105,332,7416
鹿　児　島,1369,272,671,13327
沖　　　縄,928,100,346,9780
（再掲）指定都市・特別区, , , , 
東京都の区部,11628,1281,3595,126215
札幌市,1433,155,529,21166
仙台市,950,72,211,5351
さいたま市,1028,154,371,19501
千葉市,717,75,218,11661
横浜市,3201,366,967,59104
川崎市,1060,131,371,21945
相模原市,453,48,125,5995
新潟市,651,51,169,3028
静岡市,555,103,1622,7710
浜松市,650,79,210,4227
名古屋市,2272,345,923,28302
京都市,1622,218,463,11288
大阪市,3734,715,2022,35263
堺市,744,169,419,10822
神戸市,1643,305,754,15492
岡山市,625,138,363,4636
広島市,1206,249,596,7425
北九州市,941,169,425,7298
福岡市,1693,228,684,17444
熊本市,654,97,254,4592
（再掲）中核市, , , , 
旭川市,225,24,56,2147
函館市,197,21,31,1422
青森市,206,24,41,1308
八戸市,167,15,28,1127
盛岡市,258,31,76,2319
秋田市,290,22,40,562
山形市,247,15,109,1538
郡山市,233,32,73,1603
いわき市,242,22,59,2837
福島市,249,36,140,1736
水戸市,242,25,58,1321
宇都宮市,438,36,87,3190
前橋市,340,82,253,6651
高崎市,353,58,112,2007
川越市,220,18,64,3290
越谷市,200,19,70,5877
川口市,339,35,86,7709
船橋市,380,43,122,4030
柏市,270,35,91,3837
八王子市,392,39,148,4897
横須賀市,304,43,113,4871
富山市,337,37,122,2741
金沢市,419,63,186,3421
福井市,253,24,63,895
甲府市,219,22,48,568
長野市,297,32,82,1315
松本市,231,30,90,1123
岐阜市,398,74,292,4583
豊橋市,252,28,83,2055
豊田市,244,33,119,1360
岡崎市,234,23,48,1605
一宮市,257,53,209,3695
大津市,304,60,151,2892
高槻市,297,82,239,2551
東大阪市,397,86,210,3169
豊中市,430,85,176,7012
枚方市,284,44,109,4870
八尾市,212,46,94,2370
寝屋川市,182,29,64,1503
吹田市,373,62,148,2992
姫路市,418,62,152,4596
西宮市,553,101,330,5131
尼崎市,490,106,234,5320
明石市,248,41,110,1405
奈良市,400,50,114,2880
和歌山市,416,91,298,3710
鳥取市,149,24,76,984
松江市,220,41,89,1172
倉敷市,345,55,119,2507
福山市,344,76,161,2360
呉市,209,36,81,1323
下関市,260,29,51,1188
高松市,404,65,136,2354
松山市,475,87,240,5315
高知市,243,19,87,1609
久留米市,303,56,124,890
長崎市,499,116,315,3103
佐世保市,215,35,108,1537
大分市,392,83,251,3375
宮崎市,396,60,211,5313
鹿児島市,538,86,274,8965
那覇市,263,27,113,2454
