令和５年,医療施設調査,令和５（２０２３）年１０月１日,
全国編　第１６８表　在宅療養支援診療所数，連携保険医療機関等の数・病床の有無・受け持つ在宅療養患者数階級別
,,在宅療養支援診療所,,,,,,
,,施設数,連携保険医療機関等の数,,,,,
,,,１施設,２施設,３施設,４施設,５施設,６施設以上
,,,,,,,,
総数,総数,14725,7074,2463,1892,972,759,1565
,〜19人,4450,1998,990,675,287,195,305
,20〜39人,1492,534,308,228,124,94,204
,40〜59人,897,297,156,156,82,73,133
,60〜79人,586,181,97,95,54,50,109
,80〜99人,389,104,70,69,30,40,76
,100〜149人,643,171,87,115,79,51,140
,150人〜,1415,239,232,213,169,145,417
,不詳,4853,3550,523,341,147,111,181
有床,総数,1330,715,242,150,65,57,101
,〜19人,408,223,74,58,16,12,25
,20〜39人,155,65,38,26,6,9,11
,40〜59人,82,39,18,7,4,5,9
,60〜79人,61,28,12,6,3,2,10
,80〜99人,41,19,9,3,3,3,4
,100〜149人,53,21,11,4,4,6,7
,150人〜,107,21,25,17,12,10,22
,不詳,423,299,55,29,17,10,13
無床,総数,13395,6359,2221,1742,907,702,1464
,〜19人,4042,1775,916,617,271,183,280
,20〜39人,1337,469,270,202,118,85,193
,40〜59人,815,258,138,149,78,68,124
,60〜79人,525,153,85,89,51,48,99
,80〜99人,348,85,61,66,27,37,72
,100〜149人,590,150,76,111,75,45,133
,150人〜,1308,218,207,196,157,135,395
,不詳,4430,3251,468,312,130,101,168
