令和５年,医療施設調査,令和５（２０２３）年１０月１日,
二次医療圏編　第２４表　一般診療所数，在宅療養支援診療所の届出状況・二次医療圏別
,総数,在宅療養支援診療所,,
,,届出施設数,連携保険医療機関等の数,受け持つ在宅療養患者の数
,,,,
01　　北海道　,3403,334,878,31504
0101　南渡島　　　　　　　,261,27,40,1601
0102　南檜山　　　　　　　,12,-,-,-
0103　北渡島檜山　　　　　,16,-,-,-
0104　札幌　　　　　　　　,1671,181,576,23735
0105　後志　　　　　　　　,147,20,56,1228
0106　南空知　　　　　　　,107,16,37,1027
0107　中空知　　　　　　　,53,6,10,72
0108　北空知　　　　　　　,21,-,-,-
0109　西胆振　　　　　　　,108,4,4,165
0110　東胆振　　　　　　　,109,6,7,13
0111　日高　　　　　　　　,41,3,4,192
0112　上川中部　　　　　　,253,28,64,2270
0113　上川北部　　　　　　,35,3,5,43
0114　富良野　　　　　　　,24,1,1,-
0115　留萌　　　　　　　　,36,1,1,4
0116　宗谷　　　　　　　　,42,1,2,82
0117　北網　　　　　　　　,104,7,12,116
0118　遠紋　　　　　　　　,35,1,2,19
0119　十勝　　　　　　　　,201,22,44,515
0120　釧路　　　　　　　　,105,7,13,422
0121　根室　　　　　　　　,22,-,-,-
02　　青森県　,850,74,135,4641
0201　津軽地域　　　　　　,209,23,45,1670
0202　八戸地域　　　　　　,203,16,29,1168
0203　青森地域　　　　　　,224,25,43,1368
0204　西北五地域　　　　　,75,1,2,10
0205　上十三地域　　　　　,89,6,9,387
0206　下北地域　　　　　　,50,3,7,38
03　　岩手県　,879,75,173,3458
0301　盛岡　　　　　　　　,357,35,82,2339
0302　岩手中部　　　　　　,152,19,54,518
0303　胆江　　　　　　　　,101,3,6,38
0304　両磐　　　　　　　　,86,6,10,261
0305　気仙　　　　　　　　,43,3,4,17
0306　釜石　　　　　　　　,26,3,7,245
0307　宮古　　　　　　　　,47,4,8,22
0308　久慈　　　　　　　　,30,2,2,18
0309　二戸　　　　　　　　,37,-,-,-
04　　宮城県　,1724,131,353,8463
0401　仙南　　　　　　　　,103,3,11,87
0403　仙台　　　　　　　　,1237,96,264,6071
0406　大崎・栗原　　　　　,167,15,36,872
0409　石巻・登米・気仙沼　,217,17,42,1433
05　　秋田県　,806,65,128,1415
0501　大館・鹿角　　　　　,67,5,6,93
0502　北秋田　　　　　　　,31,1,2,-
0503　能代・山本　　　　　,67,4,5,9
0504　秋田周辺　　　　　　,348,29,55,669
0505　由利本荘・にかほ　　,75,5,6,95
0506　大仙・仙北　　　　　,103,8,13,228
0507　横手　　　　　　　　,72,11,38,250
0508　湯沢・雄勝　　　　　,43,2,3,71
06　　山形県　,881,85,266,3814
0601　村山　　　　　　　　,478,33,154,2221
0602　最上　　　　　　　　,51,4,6,52
0603　置賜　　　　　　　　,142,17,36,669
0604　庄内　　　　　　　　,210,31,70,872
07　　福島県　,1372,156,431,7551
0701　県北　　　　　　　　,368,55,189,2098
0702　県中　　　　　　　　,380,53,131,2051
0703　県南　　　　　　　　,89,8,16,64
0706　相双　　　　　　　　,91,5,9,193
0707　いわき　　　　　　　,242,22,59,2837
0708　会津・南会津　　　　,202,13,27,308
08　　茨城県　,1760,195,551,11786
0801　水戸　　　　　　　　,341,32,78,1483
0802　日立　　　　　　　　,131,9,27,1274
0803　常陸太田・ひたちなか,189,20,59,819
0804　鹿行　　　　　　　　,125,12,18,401
0805　土浦　　　　　　　　,175,23,77,1829
0806　つくば　　　　　　　,258,38,128,3534
0807　取手・竜ヶ崎　　　　,268,29,73,1224
0808　筑西・下妻　　　　　,157,25,81,1118
0809　古河・坂東　　　　　,116,7,10,104
09　　栃木県　,1482,153,383,9871
0901　県北　　　　　　　　,225,31,57,1467
0902　県西　　　　　　　　,122,6,12,1435
0903　宇都宮　　　　　　　,438,36,87,3190
0904　県東　　　　　　　　,112,10,19,137
0905　県南　　　　　　　　,376,48,138,2464
0906　両毛　　　　　　　　,209,22,70,1178
10　　群馬県　,1563,261,668,13197
1001　前橋　　　　　　　　,340,82,253,6651
1002　渋川　　　　　　　　,74,18,69,452
1003　伊勢崎　　　　　　　,166,21,57,2098
