令和５年,医療施設調査,令和５（２０２３）年１０月１日,
都道府県編　第１０７表　一般診療所数（重複計上）；実施件数，在宅医療サービス・都道府県−指定都市・特別区・中核市（再掲）・病床の有無・療養病床を有する一般診療所（再掲）別
注：「実施件数」は令和５年９月中の数である。
,総数,医療保険等による,,,,,,,,,,,,,,,,,,,介護保険による,,,,,,
,,総数,往診,,在宅患者訪問診療,,歯科訪問診療,,救急搬送診療,,在宅患者訪問看護・指導,,精神科在宅患者訪問看護・指導,,在宅患者訪問リハビリテーション指導管理,,訪問看護ステーションへの指示書の交付,,在宅看取り,,総数,居宅療養管理指導（介護予防サービスを含む）,,訪問看護（介護予防サービスを含む）,,訪問リハビリテーション（介護予防サービスを含む）,
,,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数
,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数
全　　　　　国,104894,32582,17631,225875,18906,1498229,231,28376,1135,2768,2433,68882,451,26814,1882,15573,15735,305062,5780,17966,10702,7599,674663,1381,32009,1928,116524
北　海　道,3403,822,400,7890,446,55083,11,1731,28,64,86,2567,16,3141,41,556,349,9147,160,464,263,178,22700,35,831,57,5558
青　　　森,850,219,98,905,113,8184,-,-,9,19,17,379,3,221,5,51,92,1950,51,173,57,34,2834,12,1158,8,820
岩　　　手,879,240,93,1112,102,5338,3,41,13,24,12,40,1,8,10,32,119,1614,35,119,47,26,1978,8,117,17,1158
宮　　　城,1724,355,184,2668,168,16489,3,175,20,40,27,2010,6,170,11,64,181,3165,66,354,113,80,7789,14,418,12,378
秋　　　田,806,276,134,779,154,3918,-,-,2,6,13,352,1,8,8,14,117,746,38,76,49,34,858,3,24,7,196
山　　　形,881,314,170,2331,187,10373,-,-,6,10,18,721,4,498,9,51,146,1348,63,183,93,67,3537,14,528,8,791
福　　　島,1372,443,199,2080,254,11472,11,380,13,17,31,1228,-,-,17,62,213,2923,87,260,119,80,3947,17,325,15,1052
茨　　　城,1760,450,233,3453,238,24183,6,240,19,48,35,3125,5,231,34,268,210,3448,87,306,160,107,11146,25,1628,28,1336
栃　　　木,1482,421,229,2747,208,13318,3,15,24,35,25,416,2,42,18,160,205,3145,78,258,98,67,6578,14,101,15,1710
群　　　馬,1563,561,290,2914,331,23271,5,111,20,25,41,1073,6,67,21,130,276,4512,107,345,162,111,11291,20,516,16,1073
埼　　　玉,4530,1055,575,15068,562,81048,10,3008,31,104,85,3102,21,572,82,639,517,13611,230,1108,420,285,42077,37,936,75,4415
千　　　葉,3942,897,499,9275,484,73129,5,1162,26,112,80,2596,21,1159,52,531,427,11107,217,837,375,280,41656,42,2627,59,4842
東　　　京,14894,3083,1813,34574,1675,223456,26,3946,105,305,230,10072,74,3192,187,2670,1450,43510,566,2201,1217,947,112053,131,2649,193,11388
神　奈　川,7150,1637,924,20084,946,152476,20,3128,55,227,121,7534,31,3358,84,734,785,24208,390,1930,648,505,87108,45,1116,78,3006
新　　　潟,1655,562,303,2632,342,12193,5,69,18,29,19,463,5,309,33,251,245,2266,93,235,132,94,4078,16,415,15,894
富　　　山,744,280,134,1260,182,8325,2,166,11,29,10,72,2,330,24,137,140,1993,47,105,73,54,3443,10,136,8,151
石　　　川,879,320,168,1413,196,11462,1,1,15,34,20,286,2,5,20,121,147,2243,41,138,112,86,5717,12,616,16,541
福　　　井,571,220,122,573,148,3936,-,-,9,12,13,183,1,95,10,28,117,1205,34,66,75,46,1481,10,117,10,568
山　　　梨,726,199,96,1084,95,4055,2,391,8,19,10,248,1,5,12,173,83,1200,40,96,46,28,1466,6,11,13,892
長　　　野,1599,639,366,2116,401,11971,1,10,18,37,57,613,9,129,46,236,335,3817,134,225,183,127,3871,31,847,27,1922
岐　　　阜,1598,703,393,4645,450,27281,8,402,27,66,76,3748,6,928,42,258,370,6851,149,479,274,205,10686,40,569,43,1748
静　　　岡,2724,837,420,6719,441,35858,-,-,37,84,62,1249,10,558,55,262,446,6304,185,691,220,156,16694,24,203,41,4355
愛　　　知,5682,1837,985,12958,1055,92011,11,1622,55,165,115,4145,24,659,121,819,878,20358,319,1213,656,488,40807,65,1710,114,8176
三　　　重,1498,552,318,3134,304,16528,1,7,23,67,29,381,2,26,26,175,243,4228,106,290,149,100,6222,14,260,30,1761
滋　　　賀,1143,420,229,1590,272,9858,2,156,15,30,27,208,4,126,33,162,217,2422,61,108,124,89,4430,21,132,26,2737
