令和５年,医療施設調査,令和５（２０２３）年１０月１日,
都道府県編　第６８表　病院数（重複計上）；実施件数，在宅医療サービス・都道府県−指定都市・特別区・中核市（再掲）・精神科病院−一般病院別
注：「実施件数」は令和５年９月中の数である。
,総数,医療保険等による,,,,,,,,,,,,,,,,,,,介護保険による,,,,,,
,,総数,往診,,在宅患者訪問診療,,歯科訪問診療,,救急搬送診療,,在宅患者訪問看護・指導,,精神科在宅患者訪問看護・指導,,在宅患者訪問リハビリテーション指導管理,,訪問看護ステーションへの指示書の交付,,在宅看取り,,総数,居宅療養管理指導（介護予防サービスを含む）,,訪問看護（介護予防サービスを含む）,,訪問リハビリテーション（介護予防サービスを含む）,
,,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数
,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数
全　　　　　国,8122,5144,1791,25546,2904,237601,177,10084,605,12713,685,35301,634,87120,552,15328,3314,109519,824,2146,2859,1264,103559,906,115745,1852,270593
北　海　道,534,308,87,1504,169,17084,6,214,29,303,53,1821,49,8483,23,1750,161,4195,35,96,169,67,8009,60,5145,98,19977
青　　　森,89,59,22,235,39,2099,1,12,8,166,11,1192,11,1089,7,345,40,1538,15,39,32,19,879,12,400,18,2261
岩　　　手,91,70,23,184,41,2676,3,10,10,206,15,740,9,1340,1,1,42,1206,14,45,31,10,574,12,2253,17,2845
宮　　　城,135,87,27,352,40,3743,2,131,11,131,10,227,14,1511,4,25,56,1885,14,32,41,25,2234,9,504,22,1818
秋　　　田,64,45,16,220,25,1002,1,2,5,10,5,217,9,222,6,168,26,660,5,16,21,9,469,12,1227,10,733
山　　　形,66,51,17,631,25,683,4,274,3,7,7,309,15,1603,4,109,33,715,10,17,20,12,388,10,2763,11,1713
福　　　島,122,82,28,112,49,3356,7,535,7,129,10,1628,11,927,3,16,57,1526,14,44,34,18,1489,12,2575,15,2897
茨　　　城,172,95,34,513,56,3556,1,9,9,153,11,754,11,994,8,96,58,1494,19,37,44,20,977,15,2278,26,2658
栃　　　木,108,56,12,121,24,1017,3,100,6,242,7,204,9,1208,6,123,32,732,3,3,19,5,551,6,170,10,1519
群　　　馬,127,77,29,195,44,2994,3,52,12,194,10,439,12,1515,6,163,44,1418,20,35,44,25,1413,12,833,23,3885
埼　　　玉,342,200,70,1260,100,9987,8,731,18,375,29,797,20,3421,21,521,133,4179,33,126,122,53,4883,37,3119,75,10926
千　　　葉,289,163,60,1285,96,7029,9,553,18,931,25,620,23,5310,17,526,101,2372,29,62,105,58,3420,23,1629,52,12958
東　　　京,637,290,119,2050,160,25723,7,660,19,1649,38,3600,28,4859,27,951,170,10474,55,132,176,94,13242,35,4310,101,12879
神　奈　川,334,199,73,1329,103,13679,9,1249,17,1436,28,1118,22,2667,15,296,128,5435,38,139,112,63,7957,31,4411,67,15200
新　　　潟,119,94,21,138,45,1203,10,386,14,516,11,414,13,1348,4,76,73,2174,10,19,47,20,612,25,3117,24,1754
富　　　山,105,71,16,82,37,1311,3,113,6,65,16,520,14,929,9,155,43,1060,7,11,40,18,616,9,1020,27,1665
石　　　川,88,58,26,192,39,2905,1,2,11,191,17,843,8,730,8,89,37,885,10,29,38,18,1054,20,1730,25,2114
福　　　井,67,52,19,456,33,1280,2,22,6,37,4,41,6,743,3,18,40,1107,7,12,26,7,322,13,992,13,586
山　　　梨,60,30,13,315,18,980,-,-,2,4,4,64,3,130,6,140,21,671,4,10,18,5,209,7,779,13,1693
長　　　野,123,97,54,497,67,4778,6,187,23,799,13,626,12,1586,18,766,78,4158,33,106,64,34,2004,30,8017,47,10002
岐　　　阜,94,66,31,287,36,2509,4,659,11,59,3,133,9,1248,7,44,45,1668,16,32,40,18,979,18,4602,27,2659
静　　　岡,170,100,28,762,46,4961,2,9,11,104,15,1191,14,1275,9,188,59,1622,15,66,59,19,2112,20,4270,41,6389
愛　　　知,314,189,60,1455,92,19331,2,331,27,424,18,534,21,4522,30,739,125,6223,33,137,103,41,7575,27,5525,79,13793
三　　　重,93,58,19,205,32,2213,1,2,6,37,6,201,8,958,11,126,41,1022,9,21,30,12,723,15,2253,24,3325
滋　　　賀,58,41,19,368,28,1418,5,419,5,175,2,2,5,437,9,196,32,1219,12,25,22,9,1142,7,1623,19,2758
京　　　都,160,104,33,529,65,6366,3,33,14,85,4,421,9,896,12,525,76,3524,18,53,74,32,2097,25,9164,53,10480
